line,station,source,target,relation,is_escalator,escalator,out_of_order,edge_key
"7호선, 5호선",군자,군자_001,군자_002,7호선 대합실에서 계단/도보를 이용하여 7호선 대합실으로 이동하세요.,,0,0,군자_001→군자_002
"7호선, 5호선",군자,군자_001,군자_006,7호선 대합실에서 에스컬레이터를 이용하여 1번출구으로 이동하세요.,,1,0,군자_001→군자_006
"7호선, 5호선",군자,군자_001,군자_007,7호선 대합실에서 에스컬레이터를 이용하여 2번출구으로 이동하세요.,,1,0,군자_001→군자_007
"7호선, 5호선",군자,군자_001,군자_008,7호선 대합실에서 계단/도보를 이용하여 3번출구으로 이동하세요.,,0,0,군자_001→군자_008
"7호선, 5호선",군자,군자_001,군자_009,7호선 대합실에서 계단/도보를 이용하여 4번출구으로 이동하세요.,,0,0,군자_001→군자_009
"7호선, 5호선",군자,군자_001,군자_010,7호선 대합실에서 계단/도보를 이용하여 5번출구으로 이동하세요.,,0,0,군자_001→군자_010
"7호선, 5호선",군자,군자_001,군자_011,7호선 대합실에서 계단/도보를 이용하여 6번출구으로 이동하세요.,,0,0,군자_001→군자_011
"7호선, 5호선",군자,군자_001,군자_012,7호선 대합실에서 에스컬레이터를 이용하여 7번출구으로 이동하세요.,,1,0,군자_001→군자_012
"7호선, 5호선",군자,군자_001,군자_013,7호선 대합실에서 계단/도보를 이용하여 8번출구으로 이동하세요.,,0,0,군자_001→군자_013
"7호선, 5호선",군자,군자_002,군자_001,7호선 대합실에서 에스컬레이터를 이용하여 7호선 대합실으로 이동하세요.,,1,0,군자_002→군자_001
"7호선, 5호선",군자,군자_002,군자_004,7호선 대합실에서 계단/도보를 이용하여 7호선 어린이대공원 방면 승강장으로 이동하세요.,,0,0,군자_002→군자_004
"7호선, 5호선",군자,군자_003,군자_005,5호선 대합실에서 에스컬레이터를 이용하여 5호선 아차산 방면 승강장으로 이동하세요.,,1,0,군자_003→군자_005
"7호선, 5호선",군자,군자_004,군자_002,7호선 어린이대공원 방면 승강장에서 에스컬레이터를 이용하여 7호선 대합실으로 이동하세요.,,1,0,군자_004→군자_002
"7호선, 5호선",군자,군자_004,군자_005,7호선 어린이대공원 방면 승강장에서 계단/도보를 이용하여 5호선 아차산 방면 승강장으로 이동하세요.,,0,0,군자_004→군자_005
"7호선, 5호선",군자,군자_005,군자_003,5호선 아차산 방면 승강장에서 계단/도보를 이용하여 5호선 대합실으로 이동하세요.,,0,0,군자_005→군자_003
"7호선, 5호선",군자,군자_005,군자_004,5호선 아차산 방면 승강장에서 계단/도보를 이용하여 7호선 어린이대공원 방면 승강장으로 이동하세요.,,0,0,군자_005→군자_004
"7호선, 5호선",군자,군자_006,군자_001,1번출구에서 계단/도보를 이용하여 7호선 대합실으로 이동하세요.,,0,0,군자_006→군자_001
"7호선, 5호선",군자,군자_007,군자_001,2번출구에서 계단/도보를 이용하여 7호선 대합실으로 이동하세요.,,0,0,군자_007→군자_001
"7호선, 5호선",군자,군자_008,군자_001,3번출구에서 계단/도보를 이용하여 7호선 대합실으로 이동하세요.,,0,0,군자_008→군자_001
"7호선, 5호선",군자,군자_009,군자_001,4번출구에서 계단/도보를 이용하여 7호선 대합실으로 이동하세요.,,0,0,군자_009→군자_001
"7호선, 5호선",군자,군자_010,군자_001,5번출구에서 계단/도보를 이용하여 7호선 대합실으로 이동하세요.,,0,0,군자_010→군자_001
"7호선, 5호선",군자,군자_011,군자_001,6번출구에서 계단/도보를 이용하여 7호선 대합실으로 이동하세요.,,0,0,군자_011→군자_001
"7호선, 5호선",군자,군자_012,군자_001,7번출구에서 계단/도보를 이용하여 7호선 대합실으로 이동하세요.,,0,0,군자_012→군자_001
"7호선, 5호선",군자,군자_013,군자_001,8번출구에서 계단/도보를 이용하여 7호선 대합실으로 이동하세요.,,0,0,군자_013→군자_001
7호선,어린이대공원,어린이대공원_001,어린이대공원_002,7호선 대합실에서 계단/도보를 이용하여 7호선 대합실으로 이동하세요.,,0,0,어린이대공원_001→어린이대공원_002
7호선,어린이대공원,어린이대공원_001,어린이대공원_004,7호선 대합실에서 에스컬레이터를 이용하여 1번출구으로 이동하세요.,,1,0,어린이대공원_001→어린이대공원_004
7호선,어린이대공원,어린이대공원_001,어린이대공원_005,7호선 대합실에서 계단/도보를 이용하여 2번출구으로 이동하세요.,,0,0,어린이대공원_001→어린이대공원_005
7호선,어린이대공원,어린이대공원_001,어린이대공원_006,7호선 대합실에서 계단/도보를 이용하여 3번출구으로 이동하세요.,,0,0,어린이대공원_001→어린이대공원_006
7호선,어린이대공원,어린이대공원_001,어린이대공원_007,7호선 대합실에서 계단/도보를 이용하여 4번출구으로 이동하세요.,,0,0,어린이대공원_001→어린이대공원_007
7호선,어린이대공원,어린이대공원_001,어린이대공원_008,7호선 대합실에서 계단/도보를 이용하여 5번출구으로 이동하세요.,,0,0,어린이대공원_001→어린이대공원_008
7호선,어린이대공원,어린이대공원_001,어린이대공원_009,7호선 대합실에서 계단/도보를 이용하여 6번출구으로 이동하세요.,,0,0,어린이대공원_001→어린이대공원_009
7호선,어린이대공원,어린이대공원_002,어린이대공원_001,7호선 대합실에서 계단/도보를 이용하여 7호선 대합실으로 이동하세요.,,0,0,어린이대공원_002→어린이대공원_001
7호선,어린이대공원,어린이대공원_002,어린이대공원_003,7호선 대합실에서 계단/도보를 이용하여 7호선 군자 방면 승강장으로 이동하세요.,,0,0,어린이대공원_002→어린이대공원_003
7호선,어린이대공원,어린이대공원_003,어린이대공원_002,7호선 군자 방면 승강장에서 에스컬레이터를 이용하여 7호선 대합실으로 이동하세요.,,1,0,어린이대공원_003→어린이대공원_002
7호선,어린이대공원,어린이대공원_004,어린이대공원_001,1번출구에서 에스컬레이터를 이용하여 7호선 대합실으로 이동하세요.,,1,0,어린이대공원_004→어린이대공원_001
7호선,어린이대공원,어린이대공원_005,어린이대공원_001,2번출구에서 에스컬레이터를 이용하여 7호선 대합실으로 이동하세요.,,1,0,어린이대공원_005→어린이대공원_001
7호선,어린이대공원,어린이대공원_006,어린이대공원_001,3번출구에서 계단/도보를 이용하여 7호선 대합실으로 이동하세요.,,0,0,어린이대공원_006→어린이대공원_001
7호선,어린이대공원,어린이대공원_007,어린이대공원_001,4번출구에서 계단/도보를 이용하여 7호선 대합실으로 이동하세요.,,0,0,어린이대공원_007→어린이대공원_001
7호선,어린이대공원,어린이대공원_008,어린이대공원_001,5번출구에서 계단/도보를 이용하여 7호선 대합실으로 이동하세요.,,0,0,어린이대공원_008→어린이대공원_001
7호선,어린이대공원,어린이대공원_009,어린이대공원_001,6번출구에서 계단/도보를 이용하여 7호선 대합실으로 이동하세요.,,0,0,어린이대공원_009→어린이대공원_001
7호선,자양,자양_001,자양_002,7호선 대합실에서 계단/도보를 이용하여 7호선 건대입구 방면 승강장으로 이동하세요.,,0,0,자양_001→자양_002
7호선,자양,자양_001,자양_003,7호선 대합실에서 계단/도보를 이용하여 1번출구으로 이동하세요.,,0,0,자양_001→자양_003
7호선,자양,자양_001,자양_004,7호선 대합실에서 계단/도보를 이용하여 2번출구으로 이동하세요.,,0,0,자양_001→자양_004
7호선,자양,자양_001,자양_005,7호선 대합실에서 에스컬레이터를 이용하여 3번출구으로 이동하세요.,,1,0,자양_001→자양_005
7호선,자양,자양_001,자양_006,7호선 대합실에서 계단/도보를 이용하여 4번출구으로 이동하세요.,,0,0,자양_001→자양_006
7호선,자양,자양_002,자양_001,7호선 건대입구 방면 승강장에서 계단/도보를 이용하여 7호선 대합실으로 이동하세요.,,0,0,자양_002→자양_001
7호선,자양,자양_003,자양_001,1번출구에서 계단/도보를 이용하여 7호선 대합실으로 이동하세요.,,0,0,자양_003→자양_001
7호선,자양,자양_004,자양_001,2번출구에서 계단/도보를 이용하여 7호선 대합실으로 이동하세요.,,0,0,자양_004→자양_001
7호선,자양,자양_005,자양_001,3번출구에서 계단/도보를 이용하여 7호선 대합실으로 이동하세요.,,0,0,자양_005→자양_001
7호선,자양,자양_006,자양_001,4번출구에서 계단/도보를 이용하여 7호선 대합실으로 이동하세요.,,0,0,자양_006→자양_001
"7호선, 5호선",군자,군자_014,군자_002,7호선 중곡 방면 승강장에서 에스컬레이터를 이용하여 7호선 대합실으로 이동하세요.,,1,0,군자_014→군자_002
"7호선, 5호선",군자,군자_014,군자_005,7호선 중곡 방면 승강장에서 에스컬레이터를 이용하여 5호선 아차산 방면 승강장으로 이동하세요.,,1,0,군자_014→군자_005
"7호선, 5호선",군자,군자_002,군자_014,7호선 대합실에서 에스컬레이터를 이용하여 7호선 중곡 방면 승강장으로 이동하세요.,,1,0,군자_002→군자_014
"7호선, 5호선",군자,군자_005,군자_014,5호선 아차산 방면 승강장에서 에스컬레이터를 이용하여 7호선 중곡 방면 승강장으로 이동하세요.,,1,0,군자_005→군자_014
"7호선, 5호선",군자,군자_014,군자_003,7호선 중곡 방면 승강장에서 계단/도보를 이용하여 5호선 대합실으로 이동하세요.,,0,0,군자_014→군자_003
"7호선, 5호선",군자,군자_014,군자_004,7호선 중곡 방면 승강장에서 에스컬레이터를 이용하여 7호선 어린이대공원 방면 승강장으로 이동하세요.,,1,0,군자_014→군자_004
"7호선, 5호선",군자,군자_003,군자_014,5호선 대합실에서 계단/도보를 이용하여 7호선 중곡 방면 승강장으로 이동하세요.,,0,0,군자_003→군자_014
"7호선, 5호선",군자,군자_004,군자_014,7호선 어린이대공원 방면 승강장에서 계단/도보를 이용하여 7호선 중곡 방면 승강장으로 이동하세요.,,0,0,군자_004→군자_014
7호선,어린이대공원,어린이대공원_010,어린이대공원_002,7호선 건대입구 방면 승강장에서 계단/도보를 이용하여 7호선 대합실으로 이동하세요.,,0,0,어린이대공원_010→어린이대공원_002
7호선,어린이대공원,어린이대공원_002,어린이대공원_010,7호선 대합실에서 계단/도보를 이용하여 7호선 건대입구 방면 승강장으로 이동하세요.,,0,0,어린이대공원_002→어린이대공원_010
7호선,자양,자양_007,자양_001,7호선 청담 방면 승강장에서 계단/도보를 이용하여 7호선 대합실으로 이동하세요.,,0,0,자양_007→자양_001
7호선,자양,자양_001,자양_007,7호선 대합실에서 계단/도보를 이용하여 7호선 청담 방면 승강장으로 이동하세요.,,0,0,자양_001→자양_007
"7호선, 5호선",군자,군자_004,군자_017,"7호선 어린이대공원 방면 2-3, 7-2번 탑승구에서 승차하세요.",0.0,1,0,군자_004→군자_017
"7호선, 5호선",군자,군자_014,군자_018,"7호선 중곡 방면 2-3, 7-2번 탑승구에서 승차하세요.",0.0,0,0,군자_014→군자_018
7호선,어린이대공원,어린이대공원_003,어린이대공원_012,"7호선 군자 방면 4-1, 5-4번 탑승구에서 승차하세요.",0.0,0,0,어린이대공원_003→어린이대공원_012
7호선,어린이대공원,어린이대공원_010,어린이대공원_011,"7호선 건대입구 방면 4-1, 5-4번 탑승구에서 승차하세요.",0.0,0,0,어린이대공원_010→어린이대공원_011
7호선,자양,자양_002,자양_008,"7호선 건대입구 방면 3-2, 7-1번 탑승구에서 승차하세요.",0.0,0,0,자양_002→자양_008
7호선,자양,자양_007,자양_009,"7호선 청담 방면 2-4, 6-2번 탑승구에서 승차하세요.",0.0,1,0,자양_007→자양_009
"7호선, 5호선",군자,군자_017,군자_004,하차 위치는 7호선 어린이대공원 방면 승강장 입니다.,0.0,0,0,군자_017→군자_004
"7호선, 5호선",군자,군자_018,군자_014,하차 위치는 7호선 중곡 방면 승강장 입니다.,0.0,1,0,군자_018→군자_014
7호선,어린이대공원,어린이대공원_012,어린이대공원_003,하차 위치는 7호선 군자 방면 승강장 입니다.,0.0,1,0,어린이대공원_012→어린이대공원_003
7호선,어린이대공원,어린이대공원_011,어린이대공원_010,하차 위치는 7호선 건대입구 방면 승강장 입니다.,0.0,0,0,어린이대공원_011→어린이대공원_010
7호선,자양,자양_008,자양_002,하차 위치는 7호선 건대입구 방면 승강장 입니다.,0.0,0,0,자양_008→자양_002
7호선,자양,자양_009,자양_007,하차 위치는 7호선 청담 방면 승강장 입니다.,0.0,1,0,자양_009→자양_007
"2호선, 신분당선",강남,강남_001,강남_004,2호선 대합실에서 계단/도보를 이용하여 2호선 역삼 방면 승강장으로 이동하세요.,,0,0,강남_001→강남_004
"2호선, 신분당선",강남,강남_001,강남_005,2호선 대합실에서 계단/도보를 이용하여 2호선 교대 방면 승강장으로 이동하세요.,,0,0,강남_001→강남_005
"2호선, 신분당선",강남,강남_002,강남_006,신분당선 대합실에서 계단/도보를 이용하여 신분당선 양재 방면 승강장으로 이동하세요.,,0,0,강남_002→강남_006
"2호선, 신분당선",강남,강남_002,강남_007,신분당선 대합실에서 계단/도보를 이용하여 신분당선 신논현 방면 승강장으로 이동하세요.,,0,0,강남_002→강남_007
"2호선, 신분당선",강남,강남_003,강남_004,신분당선 대합실에서 계단/도보를 이용하여 2호선 역삼 방면 승강장으로 이동하세요.,,0,0,강남_003→강남_004
"2호선, 신분당선",강남,강남_003,강남_005,신분당선 대합실에서 계단/도보를 이용하여 2호선 교대 방면 승강장으로 이동하세요.,,0,0,강남_003→강남_005
"2호선, 신분당선",강남,강남_003,강남_006,신분당선 대합실에서 계단/도보를 이용하여 신분당선 양재 방면 승강장으로 이동하세요.,,0,0,강남_003→강남_006
"2호선, 신분당선",강남,강남_003,강남_007,신분당선 대합실에서 계단/도보를 이용하여 신분당선 신논현 방면 승강장으로 이동하세요.,,0,0,강남_003→강남_007
"2호선, 신분당선",강남,강남_004,강남_001,2호선 역삼 방면 승강장에서 에스컬레이터를 이용하여 2호선 대합실으로 이동하세요.,,1,0,강남_004→강남_001
"2호선, 신분당선",강남,강남_004,강남_003,2호선 역삼 방면 승강장에서 계단/도보를 이용하여 신분당선 대합실으로 이동하세요.,,0,0,강남_004→강남_003
"2호선, 신분당선",강남,강남_005,강남_001,2호선 교대 방면 승강장에서 계단/도보를 이용하여 2호선 대합실으로 이동하세요.,,0,0,강남_005→강남_001
"2호선, 신분당선",강남,강남_005,강남_003,2호선 교대 방면 승강장에서 계단/도보를 이용하여 신분당선 대합실으로 이동하세요.,,0,0,강남_005→강남_003
"2호선, 신분당선",강남,강남_006,강남_002,신분당선 양재 방면 승강장에서 계단/도보를 이용하여 신분당선 대합실으로 이동하세요.,,0,0,강남_006→강남_002
"2호선, 신분당선",강남,강남_006,강남_003,신분당선 양재 방면 승강장에서 에스컬레이터를 이용하여 신분당선 대합실으로 이동하세요.,,1,0,강남_006→강남_003
"2호선, 신분당선",강남,강남_007,강남_002,신분당선 신논현 방면 승강장에서 에스컬레이터를 이용하여 신분당선 대합실으로 이동하세요.,,1,0,강남_007→강남_002
"2호선, 신분당선",강남,강남_007,강남_003,신분당선 신논현 방면 승강장에서 계단/도보를 이용하여 신분당선 대합실으로 이동하세요.,,0,0,강남_007→강남_003
2호선,강변,강변_001,강변_002,2호선 대합실에서 계단/도보를 이용하여 2호선 구의 방면 승강장으로 이동하세요.,,0,0,강변_001→강변_002
2호선,강변,강변_001,강변_003,2호선 대합실에서 에스컬레이터를 이용하여 2호선 잠실나루 방면 승강장으로 이동하세요.,,1,0,강변_001→강변_003
2호선,강변,강변_002,강변_001,2호선 구의 방면 승강장에서 계단/도보를 이용하여 2호선 대합실으로 이동하세요.,,0,0,강변_002→강변_001
2호선,강변,강변_003,강변_001,2호선 잠실나루 방면 승강장에서 계단/도보를 이용하여 2호선 대합실으로 이동하세요.,,0,0,강변_003→강변_001
"2호선, 7호선",건대입구,건대입구_001,건대입구_003,2호선 대합실에서 에스컬레이터를 이용하여 2호선 성수 방면 승강장으로 이동하세요.,,1,0,건대입구_001→건대입구_003
"2호선, 7호선",건대입구,건대입구_001,건대입구_004,2호선 대합실에서 계단/도보를 이용하여 2호선 구의 방면 승강장으로 이동하세요.,,0,0,건대입구_001→건대입구_004
"2호선, 7호선",건대입구,건대입구_001,건대입구_005,2호선 대합실에서 계단/도보를 이용하여 7호선 어린이대공원 방면 승강장으로 이동하세요.,,0,0,건대입구_001→건대입구_005
"2호선, 7호선",건대입구,건대입구_001,건대입구_006,2호선 대합실에서 에스컬레이터를 이용하여 7호선 자양 방면 승강장으로 이동하세요.,,1,0,건대입구_001→건대입구_006
"2호선, 7호선",건대입구,건대입구_002,건대입구_005,7호선 대합실에서 계단/도보를 이용하여 7호선 어린이대공원 방면 승강장으로 이동하세요.,,0,0,건대입구_002→건대입구_005
"2호선, 7호선",건대입구,건대입구_002,건대입구_006,7호선 대합실에서 계단/도보를 이용하여 7호선 자양 방면 승강장으로 이동하세요.,,0,0,건대입구_002→건대입구_006
"2호선, 7호선",건대입구,건대입구_003,건대입구_001,2호선 성수 방면 승강장에서 계단/도보를 이용하여 2호선 대합실으로 이동하세요.,,0,0,건대입구_003→건대입구_001
"2호선, 7호선",건대입구,건대입구_004,건대입구_001,2호선 구의 방면 승강장에서 에스컬레이터를 이용하여 2호선 대합실으로 이동하세요.,,1,0,건대입구_004→건대입구_001
"2호선, 7호선",건대입구,건대입구_005,건대입구_001,7호선 어린이대공원 방면 승강장에서 계단/도보를 이용하여 2호선 대합실으로 이동하세요.,,0,0,건대입구_005→건대입구_001
"2호선, 7호선",건대입구,건대입구_005,건대입구_002,7호선 어린이대공원 방면 승강장에서 계단/도보를 이용하여 7호선 대합실으로 이동하세요.,,0,0,건대입구_005→건대입구_002
"2호선, 7호선",건대입구,건대입구_006,건대입구_001,7호선 자양 방면 승강장에서 계단/도보를 이용하여 2호선 대합실으로 이동하세요.,,0,0,건대입구_006→건대입구_001
"2호선, 7호선",건대입구,건대입구_006,건대입구_002,7호선 자양 방면 승강장에서 계단/도보를 이용하여 7호선 대합실으로 이동하세요.,,0,0,건대입구_006→건대입구_002
"2호선, 3호선",교대,교대_001,교대_004,2호선 대합실에서 계단/도보를 이용하여 2호선 서초 방면 승강장으로 이동하세요.,,0,0,교대_001→교대_004
"2호선, 3호선",교대,교대_001,교대_005,2호선 대합실에서 계단/도보를 이용하여 2호선 강남 방면 승강장으로 이동하세요.,,0,0,교대_001→교대_005
"2호선, 3호선",교대,교대_002,교대_006,3호선 대합실에서 계단/도보를 이용하여 3호선 남부터미널 방면 승강장으로 이동하세요.,,0,0,교대_002→교대_006
"2호선, 3호선",교대,교대_002,교대_007,3호선 대합실에서 계단/도보를 이용하여 3호선 고속터미널 방면 승강장으로 이동하세요.,,0,0,교대_002→교대_007
"2호선, 3호선",교대,교대_003,교대_005,3호선 대합실에서 계단/도보를 이용하여 2호선 강남 방면 승강장으로 이동하세요.,,0,0,교대_003→교대_005
"2호선, 3호선",교대,교대_003,교대_006,3호선 대합실에서 계단/도보를 이용하여 3호선 남부터미널 방면 승강장으로 이동하세요.,,0,0,교대_003→교대_006
"2호선, 3호선",교대,교대_003,교대_007,3호선 대합실에서 계단/도보를 이용하여 3호선 고속터미널 방면 승강장으로 이동하세요.,,0,0,교대_003→교대_007
"2호선, 3호선",교대,교대_004,교대_001,2호선 서초 방면 승강장에서 계단/도보를 이용하여 2호선 대합실으로 이동하세요.,,0,0,교대_004→교대_001
"2호선, 3호선",교대,교대_004,교대_006,2호선 서초 방면 승강장에서 계단/도보를 이용하여 3호선 남부터미널 방면 승강장으로 이동하세요.,,0,0,교대_004→교대_006
"2호선, 3호선",교대,교대_004,교대_007,2호선 서초 방면 승강장에서 계단/도보를 이용하여 3호선 고속터미널 방면 승강장으로 이동하세요.,,0,0,교대_004→교대_007
"2호선, 3호선",교대,교대_005,교대_001,2호선 강남 방면 승강장에서 계단/도보를 이용하여 2호선 대합실으로 이동하세요.,,0,0,교대_005→교대_001
"2호선, 3호선",교대,교대_005,교대_003,2호선 강남 방면 승강장에서 계단/도보를 이용하여 3호선 대합실으로 이동하세요.,,0,0,교대_005→교대_003
"2호선, 3호선",교대,교대_006,교대_002,3호선 남부터미널 방면 승강장에서 에스컬레이터를 이용하여 3호선 대합실으로 이동하세요.,,1,0,교대_006→교대_002
"2호선, 3호선",교대,교대_006,교대_003,3호선 남부터미널 방면 승강장에서 에스컬레이터를 이용하여 3호선 대합실으로 이동하세요.,,1,0,교대_006→교대_003
"2호선, 3호선",교대,교대_006,교대_004,3호선 남부터미널 방면 승강장에서 계단/도보를 이용하여 2호선 서초 방면 승강장으로 이동하세요.,,0,0,교대_006→교대_004
"2호선, 3호선",교대,교대_007,교대_002,3호선 고속터미널 방면 승강장에서 에스컬레이터를 이용하여 3호선 대합실으로 이동하세요.,,1,0,교대_007→교대_002
"2호선, 3호선",교대,교대_007,교대_003,3호선 고속터미널 방면 승강장에서 계단/도보를 이용하여 3호선 대합실으로 이동하세요.,,0,0,교대_007→교대_003
"2호선, 3호선",교대,교대_007,교대_004,3호선 고속터미널 방면 승강장에서 계단/도보를 이용하여 2호선 서초 방면 승강장으로 이동하세요.,,0,0,교대_007→교대_004
2호선,구로디지털단지,구로디_001,구로디_002,2호선 대합실에서 계단/도보를 이용하여 2호선 신대방 방면 승강장으로 이동하세요.,,0,0,구로디_001→구로디_002
2호선,구로디지털단지,구로디_001,구로디_003,2호선 대합실에서 계단/도보를 이용하여 2호선 대림 방면 승강장으로 이동하세요.,,0,0,구로디_001→구로디_003
2호선,구로디지털단지,구로디_002,구로디_001,2호선 신대방 방면 승강장에서 에스컬레이터를 이용하여 2호선 대합실으로 이동하세요.,,1,0,구로디_002→구로디_001
2호선,구로디지털단지,구로디_003,구로디_001,2호선 대림 방면 승강장에서 계단/도보를 이용하여 2호선 대합실으로 이동하세요.,,0,0,구로디_003→구로디_001
2호선,구의,구의_001,구의_002,2호선 대합실에서 계단/도보를 이용하여 2호선 건대입구 방면 승강장으로 이동하세요.,,0,0,구의_001→구의_002
2호선,구의,구의_001,구의_003,2호선 대합실에서 계단/도보를 이용하여 2호선 강변 방면 승강장으로 이동하세요.,,0,0,구의_001→구의_003
2호선,구의,구의_002,구의_001,2호선 건대입구 방면 승강장에서 계단/도보를 이용하여 2호선 대합실으로 이동하세요.,,0,0,구의_002→구의_001
2호선,구의,구의_003,구의_001,2호선 강변 방면 승강장에서 계단/도보를 이용하여 2호선 대합실으로 이동하세요.,,0,0,구의_003→구의_001
