호선,station,source,target,relation
2호선,시청(1),시청_001,시청_004,대합실→승강장
2호선,시청(1),시청_004,시청_001,대합실→승강장
2호선,시청(1),시청_001,시청_005,대합실→승강장
2호선,시청(1),시청_005,시청_001,대합실→승강장
2호선,시청(1),시청_002,시청_006,대합실→승강장
2호선,시청(1),시청_006,시청_002,대합실→승강장
2호선,시청(1),시청_002,시청_007,대합실→승강장
2호선,시청(1),시청_007,시청_002,대합실→승강장
2호선,시청(1),시청_003,시청_006,대합실→승강장
2호선,시청(1),시청_006,시청_003,대합실→승강장
2호선,시청(1),시청_003,시청_007,대합실→승강장
2호선,시청(1),시청_007,시청_003,대합실→승강장
2호선,시청(1),시청_008,시청_001,출구→대합실
2호선,시청(1),시청_001,시청_008,출구→대합실
2호선,시청(1),시청_009,시청_002,출구→대합실
2호선,시청(1),시청_002,시청_009,출구→대합실
2호선,시청(1),시청_003,시청_004,환승통로
2호선,시청(1),시청_004,시청_003,환승통로
2호선,시청(1),시청_003,시청_005,환승통로
2호선,시청(1),시청_005,시청_003,환승통로
2호선,을지로입구,을지로_001,을지로_002,대합실→승강장
2호선,을지로입구,을지로_002,을지로_001,대합실→승강장
2호선,을지로입구,을지로_001,을지로_003,대합실→승강장
2호선,을지로입구,을지로_003,을지로_001,대합실→승강장
2호선,을지로입구,을지로_004,을지로_001,출구→대합실
2호선,을지로입구,을지로_001,을지로_004,출구→대합실
2호선,을지로3가(3),을지로2_001,을지로2_004,대합실→승강장
2호선,을지로3가(3),을지로2_004,을지로2_001,대합실→승강장
2호선,을지로3가(3),을지로2_001,을지로2_005,대합실→승강장
2호선,을지로3가(3),을지로2_005,을지로2_001,대합실→승강장
2호선,을지로3가(3),을지로2_002,을지로2_006,대합실→승강장
2호선,을지로3가(3),을지로2_006,을지로2_002,대합실→승강장
2호선,을지로3가(3),을지로2_002,을지로2_007,대합실→승강장
2호선,을지로3가(3),을지로2_007,을지로2_002,대합실→승강장
2호선,을지로3가(3),을지로2_003,을지로2_006,대합실→승강장
2호선,을지로3가(3),을지로2_006,을지로2_003,대합실→승강장
2호선,을지로3가(3),을지로2_003,을지로2_007,대합실→승강장
2호선,을지로3가(3),을지로2_007,을지로2_003,대합실→승강장
2호선,을지로3가(3),을지로2_008,을지로2_001,출구→대합실
2호선,을지로3가(3),을지로2_001,을지로2_008,출구→대합실
2호선,을지로3가(3),을지로2_009,을지로2_002,출구→대합실
2호선,을지로3가(3),을지로2_002,을지로2_009,출구→대합실
2호선,을지로3가(3),을지로2_004,을지로2_003,환승통로
2호선,을지로3가(3),을지로2_003,을지로2_004,환승통로
2호선,을지로4가(5),을지로3_001,을지로3_006,대합실→승강장
2호선,을지로4가(5),을지로3_006,을지로3_001,대합실→승강장
2호선,을지로4가(5),을지로3_001,을지로3_007,대합실→승강장
2호선,을지로4가(5),을지로3_007,을지로3_001,대합실→승강장
2호선,을지로4가(5),을지로3_002,을지로3_008,대합실→승강장
2호선,을지로4가(5),을지로3_008,을지로3_002,대합실→승강장
2호선,을지로4가(5),을지로3_002,을지로3_009,대합실→승강장
2호선,을지로4가(5),을지로3_009,을지로3_002,대합실→승강장
2호선,을지로4가(5),을지로3_003,을지로3_008,대합실→승강장
2호선,을지로4가(5),을지로3_008,을지로3_003,대합실→승강장
2호선,을지로4가(5),을지로3_003,을지로3_009,대합실→승강장
2호선,을지로4가(5),을지로3_009,을지로3_003,대합실→승강장
2호선,을지로4가(5),을지로3_004,을지로3_008,대합실→승강장
2호선,을지로4가(5),을지로3_008,을지로3_004,대합실→승강장
2호선,을지로4가(5),을지로3_004,을지로3_009,대합실→승강장
2호선,을지로4가(5),을지로3_009,을지로3_004,대합실→승강장
2호선,을지로4가(5),을지로3_005,을지로3_008,대합실→승강장
2호선,을지로4가(5),을지로3_008,을지로3_005,대합실→승강장
2호선,을지로4가(5),을지로3_005,을지로3_009,대합실→승강장
2호선,을지로4가(5),을지로3_009,을지로3_005,대합실→승강장
2호선,을지로4가(5),을지로3_010,을지로3_002,출구→대합실
2호선,을지로4가(5),을지로3_002,을지로3_010,출구→대합실
2호선,을지로4가(5),을지로3_011,을지로3_001,출구→대합실
2호선,을지로4가(5),을지로3_001,을지로3_011,출구→대합실
2호선,을지로4가(5),을지로3_007,을지로3_003,환승통로
2호선,을지로4가(5),을지로3_003,을지로3_007,환승통로
2호선,"동대문역사문화공원(4,5)",동대문_001,동대문_007,대합실→승강장
2호선,"동대문역사문화공원(4,5)",동대문_007,동대문_001,대합실→승강장
2호선,"동대문역사문화공원(4,5)",동대문_001,동대문_008,대합실→승강장
2호선,"동대문역사문화공원(4,5)",동대문_008,동대문_001,대합실→승강장
2호선,"동대문역사문화공원(4,5)",동대문_002,동대문_009,대합실→승강장
2호선,"동대문역사문화공원(4,5)",동대문_009,동대문_002,대합실→승강장
2호선,"동대문역사문화공원(4,5)",동대문_002,동대문_010,대합실→승강장
2호선,"동대문역사문화공원(4,5)",동대문_010,동대문_002,대합실→승강장
2호선,"동대문역사문화공원(4,5)",동대문_003,동대문_009,대합실→승강장
2호선,"동대문역사문화공원(4,5)",동대문_009,동대문_003,대합실→승강장
2호선,"동대문역사문화공원(4,5)",동대문_003,동대문_010,대합실→승강장
2호선,"동대문역사문화공원(4,5)",동대문_010,동대문_003,대합실→승강장
2호선,"동대문역사문화공원(4,5)",동대문_004,동대문_011,대합실→승강장
2호선,"동대문역사문화공원(4,5)",동대문_011,동대문_004,대합실→승강장
2호선,"동대문역사문화공원(4,5)",동대문_004,동대문_012,대합실→승강장
2호선,"동대문역사문화공원(4,5)",동대문_012,동대문_004,대합실→승강장
2호선,"동대문역사문화공원(4,5)",동대문_005,동대문_011,대합실→승강장
2호선,"동대문역사문화공원(4,5)",동대문_011,동대문_005,대합실→승강장
2호선,"동대문역사문화공원(4,5)",동대문_005,동대문_012,대합실→승강장
2호선,"동대문역사문화공원(4,5)",동대문_012,동대문_005,대합실→승강장
2호선,"동대문역사문화공원(4,5)",동대문_006,동대문_011,대합실→승강장
2호선,"동대문역사문화공원(4,5)",동대문_011,동대문_006,대합실→승강장
2호선,"동대문역사문화공원(4,5)",동대문_006,동대문_012,대합실→승강장
2호선,"동대문역사문화공원(4,5)",동대문_012,동대문_006,대합실→승강장
2호선,"동대문역사문화공원(4,5)",동대문_013,동대문_001,출구→대합실
2호선,"동대문역사문화공원(4,5)",동대문_001,동대문_013,출구→대합실
2호선,"동대문역사문화공원(4,5)",동대문_014,동대문_002,출구→대합실
2호선,"동대문역사문화공원(4,5)",동대문_002,동대문_014,출구→대합실
2호선,"동대문역사문화공원(4,5)",동대문_015,동대문_004,출구→대합실
2호선,"동대문역사문화공원(4,5)",동대문_004,동대문_015,출구→대합실
2호선,"동대문역사문화공원(4,5)",동대문_001,동대문_002,환승통로
2호선,"동대문역사문화공원(4,5)",동대문_002,동대문_001,환승통로
2호선,"동대문역사문화공원(4,5)",동대문_011,동대문_009,환승통로
2호선,"동대문역사문화공원(4,5)",동대문_009,동대문_011,환승통로
2호선,신당(6),신당_001,신당_004,대합실→승강장
2호선,신당(6),신당_004,신당_001,대합실→승강장
2호선,신당(6),신당_001,신당_005,대합실→승강장
2호선,신당(6),신당_005,신당_001,대합실→승강장
2호선,신당(6),신당_002,신당_006,대합실→승강장
2호선,신당(6),신당_006,신당_002,대합실→승강장
2호선,신당(6),신당_002,신당_007,대합실→승강장
2호선,신당(6),신당_007,신당_002,대합실→승강장
2호선,신당(6),신당_003,신당_006,대합실→승강장
2호선,신당(6),신당_006,신당_003,대합실→승강장
2호선,신당(6),신당_003,신당_007,대합실→승강장
2호선,신당(6),신당_007,신당_003,대합실→승강장
2호선,신당(6),신당_008,신당_001,출구→대합실
2호선,신당(6),신당_001,신당_008,출구→대합실
2호선,신당(6),신당_009,신당_002,출구→대합실
2호선,신당(6),신당_002,신당_009,출구→대합실
2호선,신당(6),신당_003,신당_001,환승통로
2호선,신당(6),신당_001,신당_003,환승통로
2호선,상왕십리,상왕십_001,상왕십_002,대합실→승강장
2호선,상왕십리,상왕십_002,상왕십_001,대합실→승강장
2호선,상왕십리,상왕십_001,상왕십_003,대합실→승강장
2호선,상왕십리,상왕십_003,상왕십_001,대합실→승강장
2호선,상왕십리,상왕십_004,상왕십_001,출구→대합실
2호선,상왕십리,상왕십_001,상왕십_004,출구→대합실
2호선,"왕십리(5,경의중앙,수인분당)",왕십리_001,왕십리_008,대합실→승강장
2호선,"왕십리(5,경의중앙,수인분당)",왕십리_008,왕십리_001,대합실→승강장
2호선,"왕십리(5,경의중앙,수인분당)",왕십리_001,왕십리_009,대합실→승강장
2호선,"왕십리(5,경의중앙,수인분당)",왕십리_009,왕십리_001,대합실→승강장
2호선,"왕십리(5,경의중앙,수인분당)",왕십리_002,왕십리_010,대합실→승강장
2호선,"왕십리(5,경의중앙,수인분당)",왕십리_010,왕십리_002,대합실→승강장
2호선,"왕십리(5,경의중앙,수인분당)",왕십리_002,왕십리_011,대합실→승강장
2호선,"왕십리(5,경의중앙,수인분당)",왕십리_011,왕십리_002,대합실→승강장
2호선,"왕십리(5,경의중앙,수인분당)",왕십리_003,왕십리_010,대합실→승강장
2호선,"왕십리(5,경의중앙,수인분당)",왕십리_010,왕십리_003,대합실→승강장
2호선,"왕십리(5,경의중앙,수인분당)",왕십리_003,왕십리_011,대합실→승강장
2호선,"왕십리(5,경의중앙,수인분당)",왕십리_011,왕십리_003,대합실→승강장
2호선,"왕십리(5,경의중앙,수인분당)",왕십리_004,왕십리_012,대합실→승강장
2호선,"왕십리(5,경의중앙,수인분당)",왕십리_012,왕십리_004,대합실→승강장
2호선,"왕십리(5,경의중앙,수인분당)",왕십리_004,왕십리_013,대합실→승강장
2호선,"왕십리(5,경의중앙,수인분당)",왕십리_013,왕십리_004,대합실→승강장
2호선,"왕십리(5,경의중앙,수인분당)",왕십리_005,왕십리_012,대합실→승강장
2호선,"왕십리(5,경의중앙,수인분당)",왕십리_012,왕십리_005,대합실→승강장
2호선,"왕십리(5,경의중앙,수인분당)",왕십리_005,왕십리_013,대합실→승강장
2호선,"왕십리(5,경의중앙,수인분당)",왕십리_013,왕십리_005,대합실→승강장
2호선,"왕십리(5,경의중앙,수인분당)",왕십리_006,왕십리_014,대합실→승강장
2호선,"왕십리(5,경의중앙,수인분당)",왕십리_014,왕십리_006,대합실→승강장
2호선,"왕십리(5,경의중앙,수인분당)",왕십리_006,왕십리_015,대합실→승강장
2호선,"왕십리(5,경의중앙,수인분당)",왕십리_015,왕십리_006,대합실→승강장
2호선,"왕십리(5,경의중앙,수인분당)",왕십리_007,왕십리_014,대합실→승강장
2호선,"왕십리(5,경의중앙,수인분당)",왕십리_014,왕십리_007,대합실→승강장
2호선,"왕십리(5,경의중앙,수인분당)",왕십리_007,왕십리_015,대합실→승강장
2호선,"왕십리(5,경의중앙,수인분당)",왕십리_015,왕십리_007,대합실→승강장
2호선,"왕십리(5,경의중앙,수인분당)",왕십리_016,왕십리_001,출구→대합실
2호선,"왕십리(5,경의중앙,수인분당)",왕십리_001,왕십리_016,출구→대합실
2호선,"왕십리(5,경의중앙,수인분당)",왕십리_017,왕십리_004,출구→대합실
2호선,"왕십리(5,경의중앙,수인분당)",왕십리_004,왕십리_017,출구→대합실
2호선,"왕십리(5,경의중앙,수인분당)",왕십리_009,왕십리_003,환승통로
2호선,"왕십리(5,경의중앙,수인분당)",왕십리_003,왕십리_009,환승통로
2호선,"왕십리(5,경의중앙,수인분당)",왕십리_001,왕십리_012,환승통로
2호선,"왕십리(5,경의중앙,수인분당)",왕십리_012,왕십리_001,환승통로
2호선,"왕십리(5,경의중앙,수인분당)",왕십리_001,왕십리_013,환승통로
2호선,"왕십리(5,경의중앙,수인분당)",왕십리_013,왕십리_001,환승통로
2호선,"왕십리(5,경의중앙,수인분당)",왕십리_001,왕십리_014,환승통로
2호선,"왕십리(5,경의중앙,수인분당)",왕십리_014,왕십리_001,환승통로
2호선,"왕십리(5,경의중앙,수인분당)",왕십리_001,왕십리_015,환승통로
