호선,station,node_id,node_name,floor,type
2호선,시청(1),시청_001,1호선 대합실,지하1층,대합실
2호선,시청(1),시청_002,2호선 대합실(지하1층),지하1층,대합실
2호선,시청(1),시청_003,2호선 대합실(지하2층),지하2층,대합실
2호선,시청(1),시청_004,1호선 서울역 방면 승강장,지하2층,승강장
2호선,시청(1),시청_005,1호선 종각 방면 승강장,지하2층,승강장
2호선,시청(1),시청_006,2호선 충정로 방면 승강장,지하3층,승강장
2호선,시청(1),시청_007,2호선 을지로입구 방면 승강장,지하3층,승강장
2호선,시청(1),시청_008,"출구(1,2,3,4,5,6,7)",지상1층,출구
2호선,시청(1),시청_009,"출구(8,9,10,11,12)",지상1층,출구
2호선,을지로입구,을지로_001,2호선 대합실,지하1층,대합실
2호선,을지로입구,을지로_002,2호선 시청 방면 승강장,지하2층,승강장
2호선,을지로입구,을지로_003,2호선 을지로3가 방면 승강장,지하2층,승강장
2호선,을지로입구,을지로_004,"출구(1,2,3,4,5,6,7,8)",지상1층,출구
2호선,을지로3가(3),을지로2_001,2호선 대합실,지하1층,대합실
2호선,을지로3가(3),을지로2_002,3호선 대합실(지하1층),지하1층,대합실
2호선,을지로3가(3),을지로2_003,3호선 대합실(지하2층),지하2층,대합실
2호선,을지로3가(3),을지로2_004,2호선 을지로4가 방면 승강장,지하2층,승강장
2호선,을지로3가(3),을지로2_005,2호선 을지로입구 방면 승강장,지하2층,승강장
2호선,을지로3가(3),을지로2_006,3호선 충무로 방면 승강장,지하3층,승강장
2호선,을지로3가(3),을지로2_007,3호선 종로3가 방면 승강장,지하3층,승강장
2호선,을지로3가(3),을지로2_008,"출구(1,2,11,12)",지상1층,출구
2호선,을지로3가(3),을지로2_009,"출구(3,4,5,6,7,8,9,10)",지상1층,출구
2호선,을지로4가(5),을지로3_001,2호선 대합실,지하1층,대합실
2호선,을지로4가(5),을지로3_002,5호선 대합실(지하1층),지하1층,대합실
2호선,을지로4가(5),을지로3_003,5호선 대합실(지하2층),지하2층,대합실
2호선,을지로4가(5),을지로3_004,5호선 대합실(지하3층),지하3층,대합실
2호선,을지로4가(5),을지로3_005,5호선 대합실(지하4층),지하4층,대합실
2호선,을지로4가(5),을지로3_006,2호선 을지로3가 방면 승강장,지하2층,승강장
2호선,을지로4가(5),을지로3_007,2호선 동대문역사문화공원 방면 승강장,지하2층,승강장
2호선,을지로4가(5),을지로3_008,5호선 동대문역사문화공원 방면 승강장,지하5층,승강장
2호선,을지로4가(5),을지로3_009,5호선 종로3가 방면 승강장,지하5층,승강장
2호선,을지로4가(5),을지로3_010,"출구(1,2,3,4,5,6)",지상1층,출구
2호선,을지로4가(5),을지로3_011,"출구(7,8,9,10)",지상1층,출구
2호선,"동대문역사문화공원(4,5)",동대문_001,2호선 대합실,지하1층,대합실
2호선,"동대문역사문화공원(4,5)",동대문_002,4호선 대합실(지하1층),지하1층,대합실
2호선,"동대문역사문화공원(4,5)",동대문_003,4호선 대합실(지하2층),지하2층,대합실
2호선,"동대문역사문화공원(4,5)",동대문_004,5호선 대합실(지하1층),지하1층,대합실
2호선,"동대문역사문화공원(4,5)",동대문_005,5호선 대합실(지하2층),지하2층,대합실
2호선,"동대문역사문화공원(4,5)",동대문_006,5호선 대합실(지하4층),지하4층,대합실
2호선,"동대문역사문화공원(4,5)",동대문_007,2호선 을지로4가 방면 승강장,지하2층,승강장
2호선,"동대문역사문화공원(4,5)",동대문_008,2호선 신당 방면 승강장,지하2층,승강장
2호선,"동대문역사문화공원(4,5)",동대문_009,4호선 충무로 방면 승강장,지하3층,승강장
2호선,"동대문역사문화공원(4,5)",동대문_010,4호선 동대문 방면 승강장,지하3층,승강장
2호선,"동대문역사문화공원(4,5)",동대문_011,5호선 을지로4가 방면 승강장,지하5층,승강장
2호선,"동대문역사문화공원(4,5)",동대문_012,5호선 청구 방면 승강장,지하5층,승강장
2호선,"동대문역사문화공원(4,5)",동대문_013,"출구(1,2,3,11,12,13,14)",지상1층,출구
2호선,"동대문역사문화공원(4,5)",동대문_014,"출구(4,5,8,9,10)",지상1층,출구
2호선,"동대문역사문화공원(4,5)",동대문_015,"출구(6,7)",지상1층,출구
2호선,신당(6),신당_001,2호선 대합실,지하1층,대합실
2호선,신당(6),신당_002,6호선 대합실(지하1층),지하1층,대합실
