source_node,target_node,escalator,id
군자_001,군자_002,0,군자_001→군자_002
군자_001,군자_006,1,군자_001→군자_006
군자_001,군자_007,1,군자_001→군자_007
군자_001,군자_008,0,군자_001→군자_008
군자_001,군자_009,0,군자_001→군자_009
군자_001,군자_010,0,군자_001→군자_010
군자_001,군자_011,0,군자_001→군자_011
군자_001,군자_012,1,군자_001→군자_012
군자_001,군자_013,0,군자_001→군자_013
군자_002,군자_001,1,군자_002→군자_001
군자_002,군자_004,0,군자_002→군자_004
군자_003,군자_005,1,군자_003→군자_005
군자_004,군자_002,1,군자_004→군자_002
군자_004,군자_005,0,군자_004→군자_005
군자_005,군자_003,0,군자_005→군자_003
군자_005,군자_004,0,군자_005→군자_004
군자_006,군자_001,0,군자_006→군자_001
군자_007,군자_001,0,군자_007→군자_001
군자_008,군자_001,0,군자_008→군자_001
군자_009,군자_001,0,군자_009→군자_001
군자_010,군자_001,0,군자_010→군자_001
군자_011,군자_001,0,군자_011→군자_001
군자_012,군자_001,0,군자_012→군자_001
군자_013,군자_001,0,군자_013→군자_001
어린이대공원_001,어린이대공원_002,0,어린이대공원_001→어린이대공원_002
어린이대공원_001,어린이대공원_004,1,어린이대공원_001→어린이대공원_004
어린이대공원_001,어린이대공원_005,0,어린이대공원_001→어린이대공원_005
어린이대공원_001,어린이대공원_006,1,어린이대공원_001→어린이대공원_006
어린이대공원_001,어린이대공원_007,0,어린이대공원_001→어린이대공원_007
어린이대공원_001,어린이대공원_008,1,어린이대공원_001→어린이대공원_008
어린이대공원_001,어린이대공원_009,0,어린이대공원_001→어린이대공원_009
어린이대공원_002,어린이대공원_001,0,어린이대공원_002→어린이대공원_001
어린이대공원_002,어린이대공원_003,0,어린이대공원_002→어린이대공원_003
어린이대공원_003,어린이대공원_002,0,어린이대공원_003→어린이대공원_002
어린이대공원_004,어린이대공원_001,1,어린이대공원_004→어린이대공원_001
어린이대공원_005,어린이대공원_001,0,어린이대공원_005→어린이대공원_001
어린이대공원_006,어린이대공원_001,1,어린이대공원_006→어린이대공원_001
어린이대공원_007,어린이대공원_001,0,어린이대공원_007→어린이대공원_001
어린이대공원_008,어린이대공원_001,1,어린이대공원_008→어린이대공원_001
어린이대공원_009,어린이대공원_001,0,어린이대공원_009→어린이대공원_001
자양_001,자양_002,0,자양_001→자양_002
자양_001,자양_003,0,자양_001→자양_003
자양_001,자양_004,0,자양_001→자양_004
자양_001,자양_005,1,자양_001→자양_005
자양_001,자양_006,0,자양_001→자양_006
자양_002,자양_001,0,자양_002→자양_001
자양_003,자양_001,0,자양_003→자양_001
자양_004,자양_001,0,자양_004→자양_001
자양_005,자양_001,0,자양_005→자양_001
자양_006,자양_001,0,자양_006→자양_001
군자_014,군자_002,1,군자_014→군자_002
군자_014,군자_005,1,군자_014→군자_005
군자_002,군자_014,1,군자_002→군자_014
군자_005,군자_014,1,군자_005→군자_014
군자_014,군자_003,0,군자_014→군자_003
군자_014,군자_004,1,군자_014→군자_004
군자_003,군자_014,0,군자_003→군자_014
군자_004,군자_014,0,군자_004→군자_014
어린이대공원_010,어린이대공원_002,0,어린이대공원_010→어린이대공원_002
어린이대공원_002,어린이대공원_010,0,어린이대공원_002→어린이대공원_010
자양_007,자양_001,0,자양_007→자양_001
자양_001,자양_007,0,자양_001→자양_007
강남_001,강남_004,0,강남_001→강남_004
강남_001,강남_005,0,강남_001→강남_005
강남_002,강남_006,0,강남_002→강남_006
강남_002,강남_007,0,강남_002→강남_007
강남_003,강남_004,0,강남_003→강남_004
강남_003,강남_005,0,강남_003→강남_005
강남_003,강남_006,0,강남_003→강남_006
강남_003,강남_007,0,강남_003→강남_007
강남_004,강남_001,1,강남_004→강남_001
강남_004,강남_003,0,강남_004→강남_003
강남_005,강남_001,0,강남_005→강남_001
강남_005,강남_003,0,강남_005→강남_003
강남_006,강남_002,0,강남_006→강남_002
강남_006,강남_003,1,강남_006→강남_003
강남_007,강남_002,1,강남_007→강남_002
강남_007,강남_003,0,강남_007→강남_003
강변_001,강변_002,0,강변_001→강변_002
강변_001,강변_003,1,강변_001→강변_003
강변_002,강변_001,0,강변_002→강변_001
강변_003,강변_001,0,강변_003→강변_001
건대입구_001,건대입구_003,0,건대입구_001→건대입구_003
건대입구_001,건대입구_004,0,건대입구_001→건대입구_004
건대입구_001,건대입구_005,1,건대입구_001→건대입구_005
건대입구_001,건대입구_006,1,건대입구_001→건대입구_006
건대입구_002,건대입구_005,0,건대입구_002→건대입구_005
건대입구_002,건대입구_006,0,건대입구_002→건대입구_006
건대입구_003,건대입구_001,0,건대입구_003→건대입구_001
건대입구_004,건대입구_001,0,건대입구_004→건대입구_001
건대입구_005,건대입구_001,1,건대입구_005→건대입구_001
건대입구_005,건대입구_002,1,건대입구_005→건대입구_002
건대입구_006,건대입구_001,1,건대입구_006→건대입구_001
건대입구_006,건대입구_002,0,건대입구_006→건대입구_002
교대_001,교대_004,0,교대_001→교대_004
교대_001,교대_005,0,교대_001→교대_005
교대_002,교대_006,0,교대_002→교대_006
교대_002,교대_007,0,교대_002→교대_007
교대_003,교대_005,0,교대_003→교대_005
교대_003,교대_006,0,교대_003→교대_006
교대_003,교대_007,0,교대_003→교대_007
교대_004,교대_001,0,교대_004→교대_001
교대_004,교대_006,0,교대_004→교대_006
교대_004,교대_007,0,교대_004→교대_007
교대_005,교대_001,0,교대_005→교대_001
교대_005,교대_003,0,교대_005→교대_003
교대_006,교대_002,1,교대_006→교대_002
교대_006,교대_003,1,교대_006→교대_003
교대_006,교대_004,0,교대_006→교대_004
교대_007,교대_002,1,교대_007→교대_002
교대_007,교대_003,0,교대_007→교대_003
교대_007,교대_004,0,교대_007→교대_004
구로디지털단지_001,구로디지털단지_002,0,구로디지털단지_001→구로디지털단지_002
구로디지털단지_001,구로디지털단지_003,0,구로디지털단지_001→구로디지털단지_003
구로디지털단지_002,구로디지털단지_001,1,구로디지털단지_002→구로디지털단지_001
구로디지털단지_003,구로디지털단지_001,0,구로디지털단지_003→구로디지털단지_001
구의_001,구의_002,0,구의_001→구의_002
구의_001,구의_003,0,구의_001→구의_003
구의_002,구의_001,0,구의_002→구의_001
구의_003,구의_001,0,구의_003→구의_001
까치산_001,까치산_005,0,까치산_001→까치산_005
까치산_001,까치산_006,0,까치산_001→까치산_006
까치산_002,까치산_005,1,까치산_002→까치산_005
까치산_002,까치산_006,0,까치산_002→까치산_006
까치산_003,까치산_005,0,까치산_003→까치산_005
까치산_003,까치산_006,0,까치산_003→까치산_006
까치산_004,까치산_005,0,까치산_004→까치산_005
까치산_004,까치산_006,1,까치산_004→까치산_006
까치산_004,까치산_007,0,까치산_004→까치산_007
까치산_005,까치산_001,1,까치산_005→까치산_001
까치산_005,까치산_002,0,까치산_005→까치산_002
까치산_005,까치산_003,1,까치산_005→까치산_003
까치산_005,까치산_004,0,까치산_005→까치산_004
까치산_006,까치산_001,1,까치산_006→까치산_001
까치산_006,까치산_002,0,까치산_006→까치산_002
까치산_006,까치산_003,0,까치산_006→까치산_003
까치산_006,까치산_004,1,까치산_006→까치산_004
까치산_007,까치산_004,0,까치산_007→까치산_004
낙성대_001,낙성대_002,0,낙성대_001→낙성대_002
낙성대_001,낙성대_003,1,낙성대_001→낙성대_003
낙성대_002,낙성대_001,0,낙성대_002→낙성대_001
낙성대_003,낙성대_001,1,낙성대_003→낙성대_001
당산_001,당산_003,0,당산_001→당산_003
당산_001,당산_004,0,당산_001→당산_004
당산_001,당산_005,0,당산_001→당산_005
당산_002,당산_006,0,당산_002→당산_006
당산_002,당산_007,1,당산_002→당산_007
당산_003,당산_001,0,당산_003→당산_001
당산_003,당산_005,1,당산_003→당산_005
당산_003,당산_006,1,당산_003→당산_006
당산_003,당산_007,0,당산_003→당산_007
당산_004,당산_001,0,당산_004→당산_001
당산_005,당산_001,1,당산_005→당산_001
당산_005,당산_003,0,당산_005→당산_003
당산_006,당산_002,1,당산_006→당산_002
당산_006,당산_003,1,당산_006→당산_003
당산_007,당산_002,0,당산_007→당산_002
당산_007,당산_003,0,당산_007→당산_003
대림_001,대림_002,0,대림_001→대림_002
대림_001,대림_003,0,대림_001→대림_003
대림_001,대림_004,0,대림_001→대림_004
대림_002,대림_001,0,대림_002→대림_001
대림_002,대림_005,0,대림_002→대림_005
대림_002,대림_006,0,대림_002→대림_006
대림_003,대림_001,0,대림_003→대림_001
대림_004,대림_001,0,대림_004→대림_001
대림_005,대림_002,0,대림_005→대림_002
대림_006,대림_002,0,대림_006→대림_002
도림천_001,도림천_005,0,도림천_001→도림천_005
도림천_001,도림천_006,1,도림천_001→도림천_006
도림천_002,도림천_005,1,도림천_002→도림천_005
도림천_002,도림천_006,1,도림천_002→도림천_006
도림천_003,도림천_005,0,도림천_003→도림천_005
도림천_003,도림천_006,1,도림천_003→도림천_006
도림천_004,도림천_005,0,도림천_004→도림천_005
도림천_004,도림천_006,1,도림천_004→도림천_006
도림천_005,도림천_001,1,도림천_005→도림천_001
도림천_005,도림천_002,0,도림천_005→도림천_002
도림천_005,도림천_003,0,도림천_005→도림천_003
도림천_005,도림천_004,0,도림천_005→도림천_004
도림천_006,도림천_001,0,도림천_006→도림천_001
도림천_006,도림천_002,0,도림천_006→도림천_002
도림천_006,도림천_003,1,도림천_006→도림천_003
도림천_006,도림천_004,1,도림천_006→도림천_004
동대문역사문화공원_001,동대문역사문화공원_002,1,동대문역사문화공원_001→동대문역사문화공원_002
동대문역사문화공원_001,동대문역사문화공원_007,0,동대문역사문화공원_001→동대문역사문화공원_007
동대문역사문화공원_001,동대문역사문화공원_008,0,동대문역사문화공원_001→동대문역사문화공원_008
동대문역사문화공원_002,동대문역사문화공원_001,0,동대문역사문화공원_002→동대문역사문화공원_001
동대문역사문화공원_002,동대문역사문화공원_009,1,동대문역사문화공원_002→동대문역사문화공원_009
동대문역사문화공원_002,동대문역사문화공원_010,0,동대문역사문화공원_002→동대문역사문화공원_010
동대문역사문화공원_003,동대문역사문화공원_009,1,동대문역사문화공원_003→동대문역사문화공원_009
동대문역사문화공원_003,동대문역사문화공원_010,1,동대문역사문화공원_003→동대문역사문화공원_010
동대문역사문화공원_004,동대문역사문화공원_011,0,동대문역사문화공원_004→동대문역사문화공원_011
동대문역사문화공원_004,동대문역사문화공원_012,0,동대문역사문화공원_004→동대문역사문화공원_012
동대문역사문화공원_005,동대문역사문화공원_011,0,동대문역사문화공원_005→동대문역사문화공원_011
동대문역사문화공원_005,동대문역사문화공원_012,0,동대문역사문화공원_005→동대문역사문화공원_012
동대문역사문화공원_006,동대문역사문화공원_011,1,동대문역사문화공원_006→동대문역사문화공원_011
동대문역사문화공원_006,동대문역사문화공원_012,0,동대문역사문화공원_006→동대문역사문화공원_012
동대문역사문화공원_007,동대문역사문화공원_001,0,동대문역사문화공원_007→동대문역사문화공원_001
동대문역사문화공원_008,동대문역사문화공원_001,1,동대문역사문화공원_008→동대문역사문화공원_001
동대문역사문화공원_009,동대문역사문화공원_002,1,동대문역사문화공원_009→동대문역사문화공원_002
동대문역사문화공원_009,동대문역사문화공원_003,0,동대문역사문화공원_009→동대문역사문화공원_003
동대문역사문화공원_009,동대문역사문화공원_011,0,동대문역사문화공원_009→동대문역사문화공원_011
동대문역사문화공원_009,동대문역사문화공원_012,1,동대문역사문화공원_009→동대문역사문화공원_012
동대문역사문화공원_010,동대문역사문화공원_002,1,동대문역사문화공원_010→동대문역사문화공원_002
동대문역사문화공원_010,동대문역사문화공원_003,0,동대문역사문화공원_010→동대문역사문화공원_003
동대문역사문화공원_010,동대문역사문화공원_011,0,동대문역사문화공원_010→동대문역사문화공원_011
동대문역사문화공원_010,동대문역사문화공원_012,0,동대문역사문화공원_010→동대문역사문화공원_012
동대문역사문화공원_011,동대문역사문화공원_004,0,동대문역사문화공원_011→동대문역사문화공원_004
동대문역사문화공원_011,동대문역사문화공원_005,0,동대문역사문화공원_011→동대문역사문화공원_005
동대문역사문화공원_011,동대문역사문화공원_006,0,동대문역사문화공원_011→동대문역사문화공원_006
동대문역사문화공원_011,동대문역사문화공원_009,0,동대문역사문화공원_011→동대문역사문화공원_009
동대문역사문화공원_011,동대문역사문화공원_010,0,동대문역사문화공원_011→동대문역사문화공원_010
동대문역사문화공원_012,동대문역사문화공원_004,1,동대문역사문화공원_012→동대문역사문화공원_004
동대문역사문화공원_012,동대문역사문화공원_005,1,동대문역사문화공원_012→동대문역사문화공원_005
동대문역사문화공원_012,동대문역사문화공원_006,0,동대문역사문화공원_012→동대문역사문화공원_006
동대문역사문화공원_012,동대문역사문화공원_009,0,동대문역사문화공원_012→동대문역사문화공원_009
동대문역사문화공원_012,동대문역사문화공원_010,0,동대문역사문화공원_012→동대문역사문화공원_010
뚝섬_001,뚝섬_002,0,뚝섬_001→뚝섬_002
뚝섬_001,뚝섬_003,1,뚝섬_001→뚝섬_003
뚝섬_002,뚝섬_001,0,뚝섬_002→뚝섬_001
뚝섬_003,뚝섬_001,1,뚝섬_003→뚝섬_001
문래_001,문래_002,0,문래_001→문래_002
문래_001,문래_003,0,문래_001→문래_003
문래_002,문래_001,0,문래_002→문래_001
문래_003,문래_001,0,문래_003→문래_001
방배_001,방배_002,0,방배_001→방배_002
