line,station,order_in_line
2호선,시청,1
2호선,을지로입구,2
2호선,을지로3가,3
2호선,을지로4가,4
2호선,동대문역사문화공원,5
2호선,신당,6
2호선,상왕십리,7
2호선,왕십리,8
2호선,한양대,9
2호선,뚝섬,10
2호선,성수,11
2호선,건대입구,12
2호선,구의,13
2호선,강변,14
2호선,잠실나루,15
2호선,잠실,16
2호선,잠실새내,17
2호선,종합운동장,18
2호선,삼성,19
2호선,선릉,20
2호선,역삼,21
2호선,강남,22
2호선,교대,23
2호선,서초,24
2호선,방배,25
2호선,사당,26
2호선,낙성대,27
2호선,서울대입구,28
2호선,봉천,29
2호선,신림,30
2호선,신대방,31
2호선,구로디지털단지,32
2호선,대림,33
2호선,신도림,34
2호선,문래,35
2호선,영등포구청,36
2호선,당산,37
2호선,합정,38
2호선,홍대입구,39
2호선,신촌,40
2호선,이대,41
2호선,아현,42
2호선,충정로,43
7호선,장암,1
7호선,도봉산,2
7호선,수락산,3
7호선,마들,4
7호선,노원,5
7호선,중계,6
7호선,하계,7
7호선,공릉,8
7호선,태릉입구,9
7호선,먹골,10
7호선,중화,11
7호선,상봉,12
7호선,면목,13
7호선,사가정,14
7호선,용마산,15
7호선,중곡,16
7호선,군자,17
7호선,어린이대공원,18
7호선,건대입구,19
7호선,자양,20
7호선,뚝섬유원지,21
7호선,청담,22
7호선,강남구청,23
7호선,논현,24
7호선,반포,25
7호선,고속터미널,26
7호선,내방,27
7호선,이수,28
7호선,남성,29
7호선,숭실대입구,30
7호선,상도,31
7호선,장승배기,32
7호선,신대방삼거리,33
7호선,보라매,34
7호선,신풍,35
7호선,대림,36
7호선,남구로,37
7호선,가산디지털단지,38
7호선,철산,39
7호선,광명사거리,40
7호선,천왕,41
7호선,온수,42
7호선,까치울,43
7호선,부천종합운동장,44
7호선,춘의,45
7호선,신중동,46
7호선,부천시청,47
7호선,상동,48
7호선,삼산체육관,49
7호선,굴포천,50
7호선,부평구청,51
